Distinguished Lecture Series

Date            | Topic                                                       | Expert
10-Jan-19       | Knowledge Graphs in Big Data Processing                      | Prof. Amit Sheth, founding Director, Artificial Intelligence Institute, University of South Carolina, Fellow of IEEE, AAAI, and AAAS.
23-Nov-18       | Contemporary Challenges and Opportunities in Indian Higher   | Prof. Anil D. Sahasrabudhe, Chairman, All India Council for Technical Education (AICTE)
                | Education System                                             |
04-Sep-18       | Fraud, Corruption and Bribery: How to Detect and How to      | Seasoned academician Prof. Kuldeep Kumar, Professor of Economics, Bond Business School, Australia
                | Prevent?                                                     |
01-Sep-18       | Teaching Engineering Students: A Way Forward to IM and IET   | Prof. Sanjay Goel, Former Professor & Head– Department of CS & IT at Jaypee Institute of Information Technology (JIIT), Noida (before joining JKLU as Director-IET)
                | faculty members                                              |
07-May-18       | Project Based Experiential Learning Pedagogy                 | Mr. Siddhartan Govindasamy, distinguished Faculty from Olin College of Engineering, USA
25-Apr-18       | Performance and talent management with employment and        | Mr. Rajiv Kapuria, Strategic Business Manager and Senior Director, Surface Data Logging at Halliburton
                | education perspective                                        |
08-Dec-17       | Making education system more flexible                        | Dr. Pramath Raj Sinha, associated with the Indian School of Business (ISB) and Ashoka University and member of the Board of Management, JKLU
26-Sep-17       | Academic standards and making students employable            | Prof. Ram Charan, legendary management Guru
20-Sep-17       | The Success Story of HCL : How the Company Created           | Mr. Ajai Chowdhry, one of the six founder members of HCL
13-Sep-17       | Connecting Research & Economic Development                   | Dr. Anil Wali, Managing Director-Foundation for Innovation and Technology Transfer (FITT), IIT-Delhi
27-Jul-17       | E-Learning                                                   | Dr. M.S. Manna, Director-AICTE
03-Jun-17       | Preparing Students for the Industry of the Future            | Shri Som Mittal, Former Chairman and President of NASSCOM
20-May-17       | Sponsored Research Funding Opportunities                     | Dr. D. Nagesh Kumar, Member, Academic Council of JKLU and Chairman & Professor, Centre for Earth Sciences (CEaS), Department of Civil Engineering, Indian Institute of Science, Bangalore
19-May-17       | Making of an Institution: My Experiences                     | Dr. Rajan Saxena, Vice Chancellor, Narsee Monjee Institute of Management Studies, Mumbai
01-Apr-17       | Managing the life at campus and how to solve the problems of | Mrs Prema Iyer, Life Skills Trainer and former Life Style Counsellor at UPES
                | life through meditation and yoga                             |
04-Feb-17       | Stress Management                                            | Prof. Dewakar Goel, Director, Indian Aviation Academy, Ministry of Civil Aviation, Govt. of India and Executive Director (HR) Airport Authority of India
15-Dec-16       | Institution building in the age of Artificial Intelligence   | Mr. Sanjay Kaul, Managing Director – Sanmarg Projects and Former Founder President UPES, Dehradun
23-Nov-16       | High Performance Culture in Academics                        | Padma Bhushan Dr. Mrityunjay Athreya
14-Sep-16       | IoT and Cloud Computing                                      | Dr. M. C. Govil from Department of Computer Science & Engineering, MNIT Jaipur
20-Aug-16       | Exploring Newer Opportunities in Management Education        | Mr Bijay Sahoo Group President – HR, Petroleum Refining & Marketing, Petrochemicals, Consumer Businesses, Telecom & Media Businesses of Reliance Industries Limited (Reliance Industries, Jio Infocomm, Payment Bank, Retail, Media and E-commerce)
20-Aug-16       | Making the Most of Academic Life in Engineering Stream       | Dr. S K Koul Dy Director: Strategy & Planning, IIT Delhi
20-Aug-16       | How to Develop Key Competencies in Budding Professionals     | Dr. Asha Bhandarkar, Dean, International Relations & Professor – IMI, New Delhi
24-May-16       | Faculty Research for Credibility & Visibility                | Prof Sushil Sharma, Associate Dean and Professor of Information Systems Ball State University
21-May-16       | ‘Role of Faculty in Institution Building with an overview on| Dr. I K Bhat, Director, MNIT, Jaipur
                | Norms and Standards for UGC Recognition/NAAC/NBA Accreditation’. |
09-May-16       | SCI and Scopus Indexed Shodhganga Initiative Academic Honesty| Dr. Manoj Kumar, Scientist-D, INFLIBNET, Ahmedabad
                | and Plagiarism                                               |
22-Dec-15       | Academics in Institution Building                            | Padmashree awardee Dr. Pritam Singh, Esteemed Member of Board of Management, JK Lakshmipat University, Jaipur
